description,price,size_m2,bedrooms,bathrooms,parking_spaces
"Jardim Botânico, Condomínio Condomínio São Francisco II",810.000,232,3,4,2
"Jardim Botânico, Condomínio Parque Jardim das Paineiras",850.000,450,5,4,3
"Asa Norte, SQN 409 BLOCO N",875.000,95,3,2,-
"Park Way, SMPW Quadra 8",895.000,2.500,-,-,-
"Vila Planalto, Rua 1 (Acamp Rabelo)",900.000,200,4,3,1
"Jardim Botânico, Ouro Vermelho II",940.000,300,3,3,4
"Setor Habitacional Jardim Botânico, Ouro Vermelho II",940.000,300,3,3,4
"Sudoeste, CCSW 4",980.000,73,2,2,1
"Asa Norte, SHTN Trecho 1",990.000,"53,1",1,1,1
"Jardim Botânico, Condomínio Quintas do Trevo",990.000,200,3,2,4
"Setor Habitacional Tororó (Jardim Botânico), Condomínio Quintas do Trevo",990.000,200,3,2,4
"Jardim Botânico, Ouro Vermelho II",990.000,280,3,3,6
"Jardim Botânico, Condomínio Portal do Lago Sul",1.000.000,750,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Portal do Lago Sul",1.000.000,750,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",1.050.000,200,3,2,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.050.000,200,3,2,-
"Jardim Botânico, Condomínio Quintas do Sol",1.090.000,300,4,6,2
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",1.090.000,300,4,6,2
"Asa Sul, SHIGS 714 Bloco W",1.100.000,"124,47",3,3,-
"Jardim Botânico, Condomínio Quintas do Sol",1.100.000,"541,49",4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",1.100.000,"541,49",4,3,2
"Jardim Botânico, Condomínio Solar Itaipu",1.100.000,250,3,4,2
"Setor Habitacional Jardim Botânico, Condomínio Solar Itaipu",1.100.000,250,3,4,2
"Lago Sul, Condomínio Mini Chácaras do Lago Sul",1.100.000,300,4,4,2
"Jardim Botânico, Condomínio Mini Chácaras do Lago Sul",1.100.000,300,4,4,2
"Jardim Botânico, Condomínio Ecológico Village III",1.100.000,207,3,4,2
"Park Way, SMPW QUADRA 27",1.100.000,2.000,-,-,-
"Noroeste, SQNW 302 BLOCO D",1.150.000,"68,97",2,3,2
"Sudoeste, SQSW 101 BLOCO E",1.150.000,"85,42",3,3,1
"Jardim Botânico, Condomínio Condomínio Santa Felicidade",1.190.000,"164,88",3,4,2
"Jardim Botânico, CONDOMINIO OURO VERMELHO I",1.200.000,"184,78",4,4,-
"Setor Habitacional Jardim Botânico, CONDOMINIO OURO VERMELHO I",1.200.000,"184,78",4,4,-
"Asa Norte, SCLRN 714 BLOCO H",1.200.000,"164,5",5,3,-
"Jardim Botânico, Rodovia DF-140",1.200.000,20.550,-,-,-
"Jardim Botânico, Condomínio Morada de Deus",1.250.000,265,3,3,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.250.000,265,3,3,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.280.000,400,3,3,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.280.000,400,3,3,-
"Lago Sul, Quadra 12 Conjunto E (Av. das Paineiras)",1.290.000,"749,36",1,1,-
"Jardim Botânico, Condomínio Morada de Deus",1.290.000,223,4,2,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.290.000,223,4,2,2
"Jardim Botânico, Quadra 12 Conjunto E (Av. das Paineiras)",1.290.000,"749,36",1,1,-
"Jardim Botânico, Condomínio Morada de Deus",1.300.000,327,3,3,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.300.000,327,3,3,2
"Jardim Botânico, Condominio Residencial Santa Monica - Travessa Itiquira",1.300.000,"254,5",1,2,2
"Setor Habitacional Jardim Botânico, Condominio Residencial Santa Monica - Travessa Itiquira",1.300.000,"254,5",1,2,2
"Lago Norte, SHIN QI 16 Conjunto 5",1.300.000,540,-,-,-
"Asa Norte, SQN 311 BLOCO L",1.350.000,"110,8",3,2,1
"Lago Norte, SMLN MI Trecho 03",1.380.000,487,4,5,6
"Jardim Botânico, Condomínio Ouro Vermelho I",1.390.000,320,4,5,5
"Lago Norte, SMLN MI Trecho 03",1.398.000,3.200,4,-,2
"Park Way, SMPW QUADRA 14 CONJUNTO 4",1.399.000,"2.143,75",-,-,-
"Asa Sul, SQS 109 Bloco E",1.400.000,136,3,3,1
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.450.000,240,3,4,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.450.000,240,3,4,2
"Jardim Botânico, Condomínio Belvedere Green",1.470.000,260,3,4,2
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",1.470.000,260,3,4,2
"Noroeste, SQNW 307",1.480.000,100,2,1,2
"Park Way, SMPW QUADRA 13",1.500.000,150,3,4,-
"Lago Norte, CA 3 (Centro de Atividades)",1.500.000,200,-,5,-
"Jardim Botânico, Condomínio Condomínio Santa Felicidade",1.540.000,"176,8",3,4,2
"Jardim Botânico, Condomínio Quintas do Sol",1.590.000,445,4,2,2
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",1.590.000,445,4,2,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.650.000,570,5,-,5
"Noroeste, SQNW 309 Bloco G",1.670.000,"127,24",3,4,2
"Jardim Botânico, Condomínio Quintas do Sol",1.670.000,300,4,5,5
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",1.670.000,300,4,5,5
"Park Way, SMPW Quadra 8 Conjunto 1",1.689.000,2.500,4,4,3
"Jardim Botânico, Condomínio Ville Montagne",1.690.000,850,4,4,4
"Setor Habitacional Jardim Botânico, Condomínio Ville Montagne",1.690.000,850,4,4,4
"Jardim Botânico, Condomínio Morada de Deus",1.700.000,420,4,6,6
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.700.000,420,4,6,6
"Setor Habitacional Tororó (Jardim Botânico), Condomínio Le Premier Résidence",1.750.000,"400,86",3,5,2
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.780.000,300,3,5,2
"Setor Habitacional Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.780.000,300,3,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.800.000,430,3,6,4
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.800.000,430,3,6,4
"Jardim Botânico, Condomínio  Maxximo Garden",1.890.000,420,5,5,4
"Jardim Botânico, Condomínio Ville Montagne",1.900.000,400,4,1,-
"Setor Habitacional Jardim Botânico, Condomínio Ville Montagne",1.900.000,400,4,1,-
"Jardim Botânico, Condomínio Ouro Vermelho II",1.900.000,850,5,4,13
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.900.000,850,5,4,13
"Jardim Botânico, Condomínio Ouro Vermelho I",1.900.000,506,4,6,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.900.000,506,4,6,2
"Noroeste, SQNW 108",1.999.000,"156,76",3,1,2
"Jardim Botânico, Condomínio Ouro Vermelho I",2.000.000,500,3,3,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",2.000.000,500,3,3,-
"Altiplano Leste, Condomínio Residencial Taboquinha (Rua Santa Isabel)",2.000.000,20.000,4,4,5
"Jardim Botânico, Condomínio Residencial Taboquinha (Rua Santa Isabel)",2.000.000,20.000,4,4,5
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.050.000,340,4,5,3
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.050.000,340,4,5,3
"Asa Norte, SQN 212 BLOCO K",2.100.000,"162,37",5,4,1
"Asa Norte, SQN 115 BLOCO F",2.200.000,167,4,3,1
"Lago Sul, SHDB QL 32 Conjunto 7, 0",2.200.000,540,4,5,3
"Jardim Botânico, Condomínio Condomínio Rural Privê do Lago Sul",2.200.000,20.000,-,-,-
"Asa Sul, SHIGS 703 Bloco O",2.399.000,454,4,4,2
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.450.000,300,3,2,3
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.450.000,300,3,2,3
"Asa Sul, SQS 313 Bloco A",2.470.000,155,3,3,1
"Jardim Botânico, Ouro Vermelho II",2.480.000,450,4,5,6
"Setor Habitacional Jardim Botânico, Ouro Vermelho II",2.480.000,450,4,5,6
"Jardim Botânico, CONDOMINIO OURO VERMELHO I",2.500.000,500,3,2,-
"Setor Habitacional Jardim Botânico, CONDOMINIO OURO VERMELHO I",2.500.000,500,3,2,-
"Lago Norte, Núcleo Rural Córrego do Torto Trecho 2",2.500.000,340,4,5,-
"Lago Norte, SHIN QL 3 Conjunto 7",2.527.258,"653,22",5,7,2
"Park Way, SMPW QUADRA 16",2.550.000,393,6,9,3
"Taquari, Quadra 2 Conjunto 16",2.590.000,300,3,5,6
"Jardim Botânico, Condomínio Solar de Brasília",2.680.000,450,4,4,2
"Setor Habitacional Jardim Botânico, Condomínio Solar de Brasília",2.680.000,450,4,4,2
"Jardim Botânico, Condomínio Jardins do Lago Quadra 2",2.700.000,450,6,6,2
"Setor Habitacional Jardim Botânico, Condomínio Jardins do Lago Quadra 2",2.700.000,450,6,6,2
"Jardim Botânico, Condomínio Solar de Brasília",2.750.000,320,4,6,4
"Park Way, SMPW Quadra 9",2.800.000,587,4,7,2
"Lago Norte, SMLN MI Trecho 03 Conjunto 2",2.800.000,"363,22",7,4,4
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",2.850.000,202,4,5,4
"Jardim Botânico, Condomínio  Maxximo Garden",2.900.000,489,3,7,2
"Lago Norte, CA 3 (Centro de Atividades)",3.100.000,400,-,-,-
"Asa Sul, SRTVS Bloco E Lotes 2-4",3.282.875,"698,77",-,6,6
"Lago Sul, SHIS QI 28 Conjunto 9",3.330.000,620,4,7,4
"Lago Sul, SHIS QI 16",3.590.000,350,6,6,4
"Lago Norte, Condomínio Privê I Quadra 3 Conjunto G",3.600.000,"1.471,31",-,-,-
"Park Way, SMPW QUADRA 20",3.750.000,700,7,6,4
"Park Way, SMPW QUADRA 15",3.800.000,565,4,6,3
"Asa Sul, SQS 114",3.855.000,300,4,1,1
"Park Way, SMPW QUADRA 17",3.890.000,556,4,6,2
"Lago Sul, SMDB Conjunto 10",4.200.000,680,5,7,5
"Park Way, SMPW QUADRA 15",4.700.000,843,4,-,4
"Lago Sul, SHIS QI 15 Conjunto 5",4.750.000,540,6,7,5
"Noroeste, SQNW 303 BLOCO B",4.800.000,"338,05",4,6,4
"Lago Norte, SMLN ML Trecho 9",8.000.000,1.800,3,5,4
"Noroeste, SQNW 304 Bloco B",8.800.000,500,4,7,5
"Asa Sul, SCS Quadra 4",10.135.040,"2.739,2",-,-,-
"Lago Sul, SHIS QL 20 Conjunto 2, 0",12.000.000,"1.087,5",-,-,-
"Park Way, SMPW QUADRA 1 CONJUNTO 1",12.000.000,20.000,-,-,-
"Setores Complementares, SMAS Trecho 3 Lotes 04-06",750.000,"76,49",-,2,1
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",760.000,600,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",780.000,1.200,-,-,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.650.000,272,3,5,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.650.000,272,3,5,2
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",530.000,600,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",530.000,600,-,-,-
"Jardim Botânico, CONDOMÍNIO RESID TABOQUINHA",150.000,300,-,-,-
"Jardim Botânico, Residencial Itaipú Quadra 80",150.000,240,-,-,-
"Setor Habitacional Jardim Botânico, Residencial Itaipú Quadra 80",150.000,240,-,-,-
"Asa Sul, SEPS 705-905",160.000,"27,61",-,-,-
"Rural Oeste, AR Gleba 03 - Núcleo Rural Alexandre Gusmão, 0",190.000,5.000,-,-,5
"Asa Sul, SAUS Quadra 3 Bloco C Lotes 2-3",195.000,25,1,1,-
"Asa Norte, CLN 311 BLOCO E",235.000,60,-,-,-
"Asa Sul, SRTVS Bloco K",260.000,40,-,-,1
"Asa Sul, SDS Bloco P",299.000,77,-,2,-
"Jardim Botânico, Condomínio Ouro Vermelho II",400.000,"805,08",1,1,-
"Jardim Botânico, MORADA DE DEUS",400.000,"819,11",-,-,-
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",400.000,"819,11",-,-,-
"Jardim Botânico, Condomínio Belvedere Green",410.000,1.000,-,-,-
"Asa Norte, SHN QUADRA 1 BLOCO D",430.000,"27,65",1,1,1
"Núcleo Rural Boqueirão, Núcleo Rural Boqueirão",599.000,36.000,2,2,-
"Paranoá, Núcleo Rural Boqueirão",599.000,36.000,2,2,-
"Noroeste, SQNW 105",1.074.000,"65,78",2,1,1
"Park Way, SMPW QUADRA 23",1.298.000,1.875,-,-,-
"Park Way, SMPW QUADRA 11 CONJUNTO 2",1.450.000,2.125,-,-,-
"Altiplano Leste, DF-001",1.900.000,596,4,5,6
"Setor Habitacional Jardim Botânico, DF-001",1.900.000,596,4,5,6
"Lago Norte, SMLN MI Trecho 07",2.500.000,"11.918,08",-,-,-
"Jardim Botânico, Condomínio Verde",415.000,1.002,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Verde",415.000,1.002,-,-,-
"Jardim Botânico, Condomínio Verde",389.000,"813,29",-,-,-
"Setor Habitacional Tororó (Jardim Botânico), Condomínio Verde",389.000,"813,29",-,-,-
"Jardim Botânico, Condomínio Verde",395.000,"921,24",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Verde",395.000,"921,24",-,-,-
Lago Norte,655.000,66,2,2,1
Taquari,1.149.000,865,3,2,3
Jardim Botânico,1.290.000,201,3,4,4
Setor Habitacional Jardim Botânico,1.290.000,201,3,4,4
Asa Norte,2.180.000,202,2,5,2
Park Way,5.500.000,1.280,4,8,6
Park Way,6.800.000,750,6,7,5
Lago Sul,7.500.000,600,4,7,4
"Asa Sul, SGAS 910",150.000,"27,12",-,1,-
"Asa Norte, CLN 406",129.000,"32,57",-,1,-
"Centro, SDS Bloco P",150.000,"38,5",-,1,-
"Asa Sul, SDS Bloco P",150.000,"38,5",-,1,-
"Asa Sul, SGAS 910",180.000,"27,12",-,1,-
"Asa Sul, SGAS 915",299.000,30,-,-,-
"Asa Norte, SHN QUADRA 1",340.000,27,-,-,-
"Jardim Botânico, Ouro Vermelho II",380.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Ouro Vermelho II",380.000,1.000,-,-,-
"Sudoeste, QMSW 5",395.000,25,-,-,-
"Sudoeste, SQSW 500	",400.000,126,3,4,2
"Jardim Botânico, Condomínio Morada de Deus",400.000,636,-,-,-
"Lago Norte, SMLN MI Trecho 13",420.000,500,-,-,-
"Jardim Botânico, Condomínio Quintas do Sol",450.000,750,-,-,-
"Setor Tororó, TRAVESSA RAIZAMA",460.000,"920,12",-,-,-
"Setor Habitacional Jardim Botânico, TRAVESSA RAIZAMA",460.000,"920,12",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",599.000,"1.364,97",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",599.000,"1.364,97",-,-,-
"Asa Norte, SCRN 716 BLOCO F",830.000,195,-,-,-
"Park Way, SMPW QUADRA 11 CONJUNTO 1",980.000,2.500,-,-,-
"Asa Norte, SQN 411 Bloco Q",1.050.000,"95,3",3,3,-
"Asa Norte, SCLRN 711 BLOCO G",1.205.000,"202,55",-,1,-
"Octogonal, AOS 6",1.490.000,125,4,2,1
"Noroeste, SQNW 302",1.850.000,"152,56",2,1,3
"Asa Norte, SHN Quadra 2 Bloco J",155.000,"21,3",-,1,-
"Jardim Botânico, Condomínio Condomínio Boulevard Residence",367.500,400,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Condomínio Boulevard Residence",367.500,400,-,-,-
"Jardim Botânico, Condomínio Morada de Deus",375.000,"721,5",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",375.000,"721,5",-,-,-
"Jardim Botânico, Condomínio Solar da Serra",382.000,"1.287,57",-,-,-
"Jardim Botânico, SMDB",390.000,"533,31",-,-,-
"Jardim Botânico, Condomínio Quinta Bela Vista",420.000,900,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Quinta Bela Vista",420.000,900,-,-,-
"Park Way, SMPW Quadra 5",2.350.000,2.500,-,-,-
"Jardim Botânico, MORADA DE DEUS",350.000,"604,53",-,-,-
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",350.000,"604,53",-,-,-
"Asa Sul, SRTVS Bloco E Lotes 2-4",395.000,42,-,1,1
"Lago Norte, Quadra A (Weslian Roriz)",500.000,120,4,2,-
"Granja do Torto, Quadra A (Weslian Roriz)",500.000,120,4,2,-
"Asa Norte, SHN QUADRA 1",45.000,12,-,-,1
"Asa Sul, SGAS 910",160.000,"50,59",-,1,-
"Asa Sul, SRTVS Conjunto D Blocos A, B e C Lote 5",230.000,36,-,1,-
"Asa Sul, SRTVS",250.000,"30,31",-,1,1
"Asa Norte, CLN 115 BLOCO B",260.000,"41,84",1,1,-
"Asa Sul, SRTVS Conjunto D Blocos A, B e C Lote 5",290.000,36,-,1,-
"Asa Sul, SEPS 714-914",290.000,32,-,1,1
"Asa Norte, SCLRN 712 BLOCO F",300.000,"44,04",1,1,-
"Jardim Botânico, Quadra  QC 1",300.000,46,2,1,1
"Jardins Mangueiral, Quadra  QC 1",300.000,46,2,1,1
"Asa Norte, SHN QUADRA 1 BLOCO F",340.000,34,-,1,1
"Asa Norte, SGAN 912",369.000,27,1,1,1
"Asa Norte, SCLRN 715 BLOCO F",420.000,51,2,1,-
"Jardim Botânico, Condomínio Quinta dos Ipês",430.000,106,2,1,-
"Setor Habitacional Jardim Botânico, Condomínio Quinta dos Ipês",430.000,106,2,1,-
"Jardim Botânico, Condomínio Jardim Atlântico Sul",499.000,800,-,-,-
"Lago Sul, Condomínio Lago Sul",505.500,"593,31",-,-,-
"Asa Norte, SHN QUADRA 1 BLOCO F",525.000,"37,26",-,-,-
"Setor Tororó, CONDOMINIO ESTANCIA DEL REY",620.000,130,3,1,4
"Jardim Botânico, CONDOMINIO ESTANCIA DEL REY",620.000,130,3,1,4
"Jardins Mangueiral, Quadra QC 8 Rua I",650.000,68,3,3,2
"Jardim Botânico, Quadra QC 8 Rua I",650.000,68,3,3,2
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",650.000,"632,6",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",650.000,"632,6",-,-,-
"Lago Norte, CA 11",650.000,536,-,-,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",670.000,"666,12",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",670.000,"666,12",-,-,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",680.000,"642,6",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",680.000,"642,6",-,-,-
"Asa Sul, SQS 214 Bloco A",790.000,35,-,1,-
"Lago Norte, CA 2 (Centro de Atividades)",925.000,"62,66",2,2,1
"Park Way, SMPW QUADRA 21",950.000,160,2,1,-
"Jardim Botânico, Condomínio Residencial Mansões Itaipu",950.000,"2.885,22",-,-,-
"Jardim Botânico, Condomínio Solar Itaipu",990.000,300,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Solar Itaipu",990.000,300,4,5,2
"Lago Norte, CA 2 (Centro de Atividades)",1.017.730,"63,13",2,2,2
"Lago Norte, CA 2 (Centro de Atividades)",1.049.847,"63,33",2,2,2
"Park Way, SMPW QUADRA 22",1.050.000,2.000,-,-,-
"Park Way, SMPW QUADRA 27",1.050.000,2.125,-,-,-
"Guará II, Área Especial 4 Lotes E-F",1.130.000,113,4,-,2
"Park Way, SMPW QUADRA 19",1.150.000,2.012,-,-,-
"Lago Norte, CA 2 (Centro de Atividades)",1.217.146,"75,5",2,2,2
"Park Way, SMPW QUADRA 15",1.250.000,1.790,-,-,-
"Jardim Botânico, Rodovia DF-140",1.400.000,39.000,-,-,-
"PARK SUL, SMAS Trecho 1 C",1.499.000,87,3,3,2
"Park Way, SMPW QUADRA 20",1.550.000,270,2,2,1
"Asa Norte, SQN 310 BLOCO B",1.800.000,136,4,3,1
"Park Way, SMPW Quadra 4 Conjunto 6",1.980.000,"2.124,8",-,-,-
"Park Way, SMPW Quadra 4 Conjunto 6",2.100.000,"2.124,8",-,-,-
"Sudoeste, QMSW 2 BLOCO B",2.950.000,900,3,1,-
"Noroeste, SQNW 303 BLOCO F",3.500.000,"201,41",4,5,4
"Noroeste, SQNW 106 BLOCO F",4.100.000,272,4,6,4
"Noroeste, SQNW 105",4.750.000,291,4,6,4
"Noroeste, SQNW 105 BLOCO D",4.850.000,291,4,6,4
"Taquari, Avenida Comercial",15.000.000,"3.040,68",-,-,-
"Jardim Botânico, Condomínio  Maxximo Garden",530.000,"840,09",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio  Maxximo Garden",530.000,"840,09",-,-,-
PARK SUL,275.000,"27,62",1,1,1
PARK SUL,370.000,27,1,-,-
PARK SUL,390.000,28,1,1,1
PARK SUL,460.000,27,1,1,1
Noroeste,530.000,"39,3",1,1,1
PARK SUL,595.000,42,1,1,1
PARK SUL,1.150.000,"74,74",2,3,1
PARK SUL,1.170.000,70,2,2,1
Asa Norte,1.330.000,"104,17",3,3,1
Jardim Botânico,1.350.000,1.267,5,3,2
Setor Habitacional Jardim Botânico,1.350.000,1.267,5,3,2
Lago Sul,1.460.000,392,3,2,3
Jardim Botânico,1.460.000,392,3,2,3
PARK SUL,1.890.000,123,2,2,4
Jardim Botânico,1.930.000,490,5,6,5
Setor Habitacional Jardim Botânico,1.930.000,490,5,6,5
PARK SUL,1.990.000,"120,6",2,4,2
Taquari,2.500.000,443,-,-,5
Asa Norte,2.950.000,327,4,2,2
Sudoeste,2.990.000,"189,41",4,4,2
"Jardim Botânico, CONDOMINIO OURO VERMELHO I",500.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, CONDOMINIO OURO VERMELHO I",500.000,1.000,-,-,-
"Asa Sul, SHLS Bloco L",58.000,"12,5",-,-,1
"Núcleo Bandeirante, SMPW Trecho 3 Blocos A e B",105.000,"20,56",-,1,-
"Park Way, SMPW Trecho 3 Blocos A e B",105.000,"20,56",-,1,-
"Vila Planalto, Rua 8 (Acamp DFL)",430.000,130,-,2,-
"Jardim Botânico, Condomínio Condominio Residencial Santa Monica",580.000,1.820,-,-,-
"Park Way, SMPW QUADRA 17",950.000,950.000,-,-,-
"Asa Sul, CLS 311 Bloco D",1.360.000,"94,5",-,1,-
"Jardim Botânico, Condomínio Verde",1.260.000,380,4,3,3
"Setor Habitacional Jardim Botânico, Condomínio Verde",1.260.000,380,4,3,3
"Rural Oeste, AR Gleba 03 - Núcleo Rural Alexandre Gusmão, 0",7.000.000,360.000,3,5,-
"Jardim Botânico, Condomínio Condominio Residencial Santa Monica",550.000,981,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Condominio Residencial Santa Monica",550.000,981,-,-,-
"Asa Sul, SBS Quadra 1",38.000,13,-,-,38
"Jardim Botânico, Condomínio Morada de Deus",500.000,595,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",500.000,595,-,-,-
"Asa Sul, EQS 414-415",130.000,"38,5",-,1,-
"Lago Norte, CA 5 (Centro de Atividades), 0",580.000,"49,42",2,1,1
"Asa Sul, SBS Quadra 2",780.000,"53,63",-,2,2
"Jardim Botânico, Quadra 5 Conjunto A (Av. das Paineiras)",1.299.000,780,-,-,-
"Jardim Botânico, MORADA DE DEUS",1.900.000,"895,56",4,6,-
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",1.900.000,"895,56",4,6,-
"Asa Sul, SHIGS 703 Bloco R",4.500.000,"637,17",25,15,-
"Asa Sul, SBS QUADRA 02 BLOCO A LOTE 19, 0",5.500.000,"960,41",-,8,2
Jardim Botânico,799.000,120,1,1,2
Lago Sul,2.980.000,20.000,-,-,-
Altiplano Leste,2.980.000,20.000,-,-,-
Asa Sul,74.000,"24,33",-,1,-
Asa Norte,230.000,"42,52",-,1,-
Asa Norte,265.000,33,-,-,1
PARK SUL,389.000,27,1,1,1
PARK SUL,399.000,26,1,1,1
Asa Sul,415.000,45,2,1,-
Jardim Botânico,440.000,"752,06",-,-,-
Setor Oeste (Sobradinho II),580.000,289,4,3,2
PARK SUL,598.000,42,1,1,1
Guará II,620.000,62,2,2,1
PARK SUL,650.000,"52,61",-,1,1
Sudoeste,699.000,67,1,2,1
Guará II,750.000,"56,69",2,2,1
PARK SUL,770.000,52,2,2,1
Asa Sul,850.000,"77,64",3,1,-
Sudoeste,1.060.000,76,3,2,1
Park Way,1.150.000,2.500,-,-,-
Asa Sul,1.199.000,120,2,1,-
Sudoeste,1.230.000,"73,37",2,3,1
Asa Norte,1.350.000,128,3,3,1
Jardim Botânico,1.380.000,210,-,4,4
Sudoeste,1.390.000,95,3,3,1
Asa Norte,1.440.000,"142,87",3,3,1
Park Way,1.560.000,230,2,3,6
Asa Norte,1.580.000,"131,79",2,3,1
Setor Habitacional Tororó (Jardim Botânico),1.590.000,6.000,2,2,-
Jardim Botânico,1.590.000,6.000,2,2,-
Jardim Botânico,2.050.000,550,5,7,6
PARK SUL,2.280.000,154,4,6,3
PARK SUL,2.300.000,154,4,6,3
PARK SUL,2.500.000,140,3,4,2
PARK SUL,2.670.000,170,4,6,3
PARK SUL,2.700.000,170,4,6,3
Park Way,2.700.000,8.500,4,5,4
Taquari,2.750.000,423,4,6,4
Asa Norte,3.099.000,208,4,5,1
Lago Norte,6.800.000,992,4,7,6
"Park Way, SMPW Quadra 4 Conjunto 3, 0",1.750.000,"2.115,64",-,-,-
"Asa Sul, CLS 209",5.500.000,320,-,-,-
Asa Norte,310.000,"47,5",-,-,-
"Jardim Botânico, Jardim Botâncio III Quadra 3 Conjunto A",1.100.000,800,-,-,-
"Jardim Botânico, Condomínio Condomínio Santa Bárbara",340.000,"325,69",-,-,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",640.000,600,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",640.000,600,-,-,-
Park Way,1.650.000,2.500,4,4,6
PARK SUL,2.500.000,170,4,5,4
Lago Norte,600.000,38.000,-,-,-
PARK SUL,1.030.000,76,3,2,2
PARK SUL,1.060.000,72,2,2,1
PARK SUL,1.130.000,78,2,2,1
PARK SUL,1.150.000,79,2,2,1
PARK SUL,1.170.000,70,2,3,1
PARK SUL,1.750.000,120,4,3,2
Setor Tororó,1.750.000,391,4,4,3
PARK SUL,1.930.000,117,3,4,2
PARK SUL,2.070.000,"116,34",3,4,2
PARK SUL,3.500.000,205,4,6,4
PARK SUL,3.690.000,"233,61",4,5,2
"Jardim Botânico, Condomínio Solar de Brasília",4.500.000,"797,83",-,-,-
"Sudoeste, QRSW 1",250.000,"23,6",-,-,-
"Park Way, SMPW Quadra 8",980.000,2.500,-,-,-
"Asa Sul, SQS 409 Bloco S, 0",650.000,"54,7",2,1,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.300.000,280,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.300.000,280,4,5,2
Asa Norte,230.000,28,-,1,-
Lago Norte,320.000,27,1,1,1
Jardim Botânico,410.000,1.028,-,-,-
Asa Sul,850.000,"80,7",3,2,-
Jardim Botânico,950.000,640,-,-,-
Taquari,1.060.000,800,-,-,-
PARK SUL,1.290.000,78,3,3,2
